category,url,title,price,rooms,area,address,free_period,time_ago,collection_date
apartments,https://www.avito.ru/sochi/kvartiry/1-k._kvartira_341_m_46_et._7795279182,"1-к. квартира, 34,1 м², 4/6 эт.",40000,1,34.1,"Краснодарский край, Сочи, Виноградная ул., 224/8",Бесплатно на 1 неделю,15 ноября 14:30,2025-12-14 15:12:14
apartments,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_47_m_419_et._7619699943,"1-к. квартира, 47 м², 4/19 эт.",30000,1,47,"Воронежская обл., Воронеж, ул. 9 Января, 233/54",Бесплатно более 2 месяцев,5 сентября 11:40,2025-12-14 15:12:18
apartments,https://www.avito.ru/izhevsk/kvartiry/1-k._kvartira_42_m_817_et._7780230328,"1-к. квартира, 42 м², 8/17 эт.",45000,1,42,"Удмуртская Республика, Ижевск, мкр-н Ключевой Посёлок, пр. Орджоникидзе, 1",Бесплатно более 2 месяцев,1 неделю назад,2025-12-14 15:12:23
apartments,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_40_m_811_et._7804043293,"1-к. квартира, 40 м², 8/11 эт.",27000,1,40,"Воронежская обл., Воронеж, Ленинский пр-т, 96Б",Бесплатно более 2 месяцев,2 недели назад,2025-12-14 15:12:29
apartments,https://www.avito.ru/murmanskaya_oblast_zapolyarnyy/kvartiry/1-k._kvartira_33_m_45_et._7356880994,"1-к. квартира, 33 м², 4/5 эт.",13000,1,33,"Мурманская обл., Печенгский муниципальный округ, Заполярный, ул. Ленина, 33А",Бесплатно на 1 месяц,1 мая 01:41,2025-12-14 15:12:34
apartments,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_24_m_820_et._7553356786,"Квартира-студия, 24 м², 8/20 эт.",29000,студия,24,"Санкт-Петербург, Пушкинский р-н, пос. Шушары, Вилеровский пер., 6",Бесплатно более 2 месяцев,28 июля 08:57,2025-12-14 15:12:39
apartments,https://www.avito.ru/novotroitsk/kvartiry/1-k._kvartira_304_m_55_et._7702671986,"1-к. квартира, 304 м², 5/5 эт.",35000,1,304,"Оренбургская обл., Новотроицк, Советская ул., 98",Бесплатно на 1 неделю,16 сентября 20:04,2025-12-14 15:12:44
apartments,https://www.avito.ru/sochi/kvartiry/kvartira-studiya_31_m_312_et._4225411355,"Квартира-студия, 31 м², 3/12 эт.",36000,студия,31,"Краснодарский край, Сочи, ул. Искры, 88к1",Бесплатно на 1 неделю,3 сентября 2024,2025-12-14 15:12:50
apartments,https://www.avito.ru/sochi/kvartiry/2-k._kvartira_50_m_46_et._2491731266,"2-к. квартира, 50 м², 4/6 эт.",70000,2,50,"Краснодарский край, Сочи, Весёлая ул., 82/1Б",Бесплатно на 1 неделю,17 июля 2022,2025-12-14 15:12:56
apartments,https://www.avito.ru/saratov/kvartiry/3-k._kvartira_85_m_810_et._7285258295,"3-к. квартира, 85 м², 8/10 эт.",70000,3,85,"Саратовская обл., Саратов, ул. имени Ф.Э. Дзержинского, 7/11",Бесплатно более 2 месяцев,8 апреля 13:31,2025-12-14 15:13:02
apartments,https://www.avito.ru/volgograd/kvartiry/apartamenty-studiya_35_m_13_et._7672203186,"Апартаменты-студия, 35 м², 1/3 эт.",23900,студия,35,"Волгоградская обл., Волгоград, ул. Братьев Толмачёвых, 1К",Бесплатно более 2 месяцев,1 октября 09:27,2025-12-14 15:13:07
apartments,https://www.avito.ru/sochi/kvartiry/kvartira-studiya_247_m_23_et._7496432025,"Квартира-студия, 24,7 м², 2/3 эт.",15000,студия,24.7,"Краснодарский край, г.о. Сочи, с. Барановка (Хостинский район), Армянская ул., 99",Бесплатно на 1 неделю,3 августа 11:05,2025-12-14 15:13:12
apartments,https://www.avito.ru/orel/kvartiry/2-k._kvartira_601_m_510_et._7698206538,"2-к. квартира, 60,1 м², 5/10 эт.",23000,2,60.1,"Орловская обл., Орёл, ул. Емлютина, 16",Бесплатно на 1 месяц,25 октября 17:54,2025-12-14 15:13:17
apartments,https://www.avito.ru/orenburg/kvartiry/2-k._kvartira_65_m_67_et._7801088322,"2-к. квартира, 65 м², 6/7 эт.",33000,2,65,"Оренбургская обл., Оренбург, Краснознамённая ул., 58",Бесплатно на 1 неделю,3 недели назад,2025-12-14 15:13:23
apartments,https://www.avito.ru/nadym/kvartiry/3-k._kvartira_595_m_12_et._7776173467,"3-к. квартира, 59,5 м², 1/2 эт.",15000,3,59.5,"Тюменская обл., Ямало-Ненецкий АО, Надымский р-н, пос. Приозёрный, мкр-н ФК-2, 2",Бесплатно на 1 месяц,3 ноября 21:39,2025-12-14 15:13:28
apartments,https://www.avito.ru/asbest/kvartiry/1-k._kvartira_35_m_13_et._7771133208,"1-к. квартира, 35 м², 1/3 эт.",9000,1,35,"Свердловская обл., Асбестовский муниципальный округ, Асбест, пер. Пушкина, 25",Бесплатно более 2 месяцев,12 ноября 20:22,2025-12-14 15:13:33
apartments,https://www.avito.ru/sochi/kvartiry/kvartira-studiya_20_m_33_et._4139493984,"Квартира-студия, 20 м², 3/3 эт.",20000,студия,20,"Краснодарский край, г.о. Сочи, с. Краевско-Армянское, СНТ Родник, 26",Бесплатно на 1 месяц,6 сентября 2024,2025-12-14 15:13:38
apartments,https://www.avito.ru/sochi/kvartiry/kvartira-studiya_30_m_38_et._1806081702,"Квартира-студия, 30 м², 3/8 эт.",25000,студия,30,"Краснодарский край, Сочи, Адлер, ул. Просвещения, 167",Бесплатно на 1 неделю,24 сентября 2019,2025-12-14 15:13:42
apartments,https://www.avito.ru/aldan/kvartiry/1-k._kvartira_40_m_12_et._7356265331,"1-к. квартира, 40 м², 1/2 эт.",35000,1,40,"Республика Саха (Якутия), Алданский р-н, муниципальное образование Алдан, Алдан, ул. Билибина, 32",Бесплатно более 2 месяцев,7 мая 15:56,2025-12-14 15:13:46
apartments,https://www.avito.ru/sochi/kvartiry/2-k._kvartira_49_m_69_et._680187629,"2-к. квартира, 49 м², 6/9 эт.",48000,2,49,"Краснодарский край, Сочи, Одесская ул., 22",Бесплатно на 1 неделю,16 ноября 2015,2025-12-14 15:13:52
apartments,https://www.avito.ru/groznyy/kvartiry/3-k._kvartira_71_m_55_et._4264510871,"3-к. квартира, 71 м², 5/5 эт.",40000,3,71,"Чеченская Республика, Грозный, Висаитовский район, посёлок Мельникова, ул. Заветы Ильича, 3",Бесплатно более 2 месяцев,25 ноября 2024,2025-12-14 15:13:57
apartments,https://www.avito.ru/rostov-na-donu/kvartiry/1-k._kvartira_30_m_26_et._7680665159,"1-к. квартира, 30 м², 2/6 эт.",1000,1,30,"Ростовская обл., Аксайский р-н, Щепкинское сельское поселение, пос. Верхнетемерницкий, Атмосферный пер., 14",Бесплатно более 2 месяцев,18 сентября 14:08,2025-12-14 15:14:02
apartments,https://www.avito.ru/sochi/kvartiry/2-k._kvartira_44_m_46_et._7558857985,"2-к. квартира, 44 м², 4/6 эт.",70000,2,44,"Краснодарский край, федеральная территория Сириус, Сириус, Весёлая ул., 82/1Б",Бесплатно на 1 неделю,7 августа 07:13,2025-12-14 15:14:07
apartments,https://www.avito.ru/mihaylov/kvartiry/1-k._kvartira_286_m_12_et._4460853604,"1-к. квартира, 28,6 м², 1/2 эт.",25000,1,28.6,"Рязанская обл., Михайловский муниципальный округ, Михайлов, Пронская ул., 18",Бесплатно на 1 неделю,10 января 11:32,2025-12-14 15:14:12
apartments,https://www.avito.ru/samara/kvartiry/2-k._kvartira_70_m_1112_et._7626993090,"2-к. квартира, 70 м², 11/12 эт.",70000,2,70,"Самарская обл., Самара, Владимирская ул., 41А",Бесплатно более 2 месяцев,30 августа 16:00,2025-12-14 15:14:18
apartments,https://www.avito.ru/baymak/kvartiry/2-k._kvartira_442_m_12_et._7739909585,"2-к. квартира, 44,2 м², 1/2 эт.",6000,2,44.2,"Республика Башкортостан, Баймакский р-н, Зилаирский сельсовет, с. Ургаза, Коммунистическая ул., 10",Бесплатно более 2 месяцев,27 октября 22:38,2025-12-14 15:14:22
apartments,https://www.avito.ru/volokolamsk/kvartiry/1-k._kvartira_40_m_55_et._1174670666,"1-к. квартира, 40 м², 5/5 эт.",55000,1,40,"Московская обл., Волоколамский г.о., Волоколамск, Ново-Солдатский пер., 7А",Бесплатно на 1 неделю,30 ноября 2018,2025-12-14 15:14:27
